maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,batch,n_paths,difference
63,0.9,kappa_minus20,10,1,Heston_minus_BS,0,512,0.17157147423153343
63,0.9,kappa_minus20,10,1,Heston_minus_BS,1,512,0.1536393195594889
63,0.9,kappa_minus20,10,1,Heston_minus_BS,2,512,0.1604354582341698
63,0.9,kappa_minus20,10,1,Heston_minus_BS,3,512,0.19693791605712446
63,0.9,kappa_minus20,10,1,Heston_minus_BS,4,512,0.1377576865232374
63,0.9,kappa_minus20,10,1,Heston_minus_BS,5,512,0.13498342287876608
63,0.9,kappa_minus20,10,1,Heston_minus_BS,6,512,0.0931437988104469
63,0.9,kappa_minus20,10,1,Heston_minus_BS,7,512,0.12643442944884176
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,0,512,-0.19502811206101672
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,1,512,-0.177170592830332
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,2,512,-0.18836929269632235
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,3,512,-0.233945189621518
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,4,512,-0.14961299184376456
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,5,512,-0.13568821346068016
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,6,512,-0.06949596976176645
63,0.9,kappa_minus20,10,1,Adjusted_minus_Heston,7,512,-0.13173322209536076
63,0.9,kappa_minus20,10,5,Heston_minus_BS,0,512,0.19238086954364184
63,0.9,kappa_minus20,10,5,Heston_minus_BS,1,512,0.163586730914678
63,0.9,kappa_minus20,10,5,Heston_minus_BS,2,512,0.17072267587468015
63,0.9,kappa_minus20,10,5,Heston_minus_BS,3,512,0.22341289621820115
63,0.9,kappa_minus20,10,5,Heston_minus_BS,4,512,0.15730417072730174
63,0.9,kappa_minus20,10,5,Heston_minus_BS,5,512,0.13470737223542023
63,0.9,kappa_minus20,10,5,Heston_minus_BS,6,512,0.08604049248709036
63,0.9,kappa_minus20,10,5,Heston_minus_BS,7,512,0.14772235533394643
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,0,512,-0.22775151913478434
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,1,512,-0.18226427865645772
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,2,512,-0.19601999750592145
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,3,512,-0.2766984214820061
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,4,512,-0.1723690185677574
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,5,512,-0.1337976133238482
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,6,512,-0.048803438086081605
