day,time_years,event,spot,target_holdings,cash_before,interest,trade,fees,cumulative_fees,holdings,cash_after,portfolio,payoff,terminal_error
49,0.19444444444444445,rebalance,114.86535822734353,0.9986317374920565,-99.96804986858473,-0.0158692038508889,-0.000738300138500958,8.480510988820989e-05,0.14488561641340728,0.9986317374920565,-99.8991987676573,14.808993496562266,,
50,0.1984126984126984,rebalance,115.38357339662318,0.9992396403576115,-99.8991987676573,-0.01585827423730324,0.00060790286555501,7.014200490578405e-05,0.14495575841831307,0.9992396403576115,-99.98526918880529,15.310571195212518,,
51,0.20238095238095238,rebalance,116.63147382110958,0.9998129514975596,-99.98526918880529,-0.015871937293254867,0.0005733111399480739,6.686612321020427e-05,0.14502262454152326,0.9998129514975596,-100.06807411543195,16.54158396316197,,
52,0.20634920634920634,rebalance,115.80693900083838,0.9996841522442123,-100.06807411543195,-0.015885081975603114,-0.00012879925334730036,1.4915847275744341e-05,0.145037540388799,0.9996841522442123,-100.06905826597908,15.70130337307124,,
53,0.21031746031746032,rebalance,116.88126973725124,0.9998735547488113,-100.06905826597908,-0.015885238202374297,0.00018940250459908992,2.21376052289572e-05,0.14505967799402797,0.9998735547488113,-100.10710324701564,16.75938740872442,,
54,0.21428571428571427,rebalance,116.9640538341794,0.9999780329476176,-100.10710324701564,-0.015891277567555134,0.00010447819880621267,1.2220193669667958e-05,0.14507189818769764,0.9999780329476176,-100.13522693844655,16.826257540235403,,
55,0.21825396825396826,rebalance,116.4383596372818,0.9999797714617708,-100.13522693844655,-0.01589574199987069,1.7385141531933712e-06,2.0242973620403419e-07,0.14507210061743384,0.9999797714617708,-100.15132531261236,16.28467894686017,,
56,0.2222222222222222,rebalance,115.24819034475667,0.9999619892406992,-100.15132531261236,-0.015898297500169443,-1.778222107151617e-05,2.0493687988026386e-06,0.14507414998623264,0.9999619892406992,-100.16517629068252,15.078633382851095,,
57,0.2261904761904762,rebalance,115.37997371099495,0.999994668025801,-100.16517629068252,-0.01590049624261584,3.267878510171407e-05,3.770477365943023e-06,0.14507792046359858,0.999994668025801,-100.18485103476846,15.194507473183577,,
58,0.23015873015873015,rebalance,116.554801907234,0.9999998391374196,-100.18485103476846,-0.01590361946573587,5.171111618684776e-06,6.027178903560002e-07,0.14507852318148892,0.9999998391374196,-100.20135797484244,16.353425183085363,,
59,0.23412698412698413,rebalance,116.38066284231321,0.9999999946738451,-100.20135797484244,-0.015906239822913316,1.5553642551680014e-07,1.810143229776928e-08,0.14507854128292122,0.9999999946738451,-100.21728233419908,16.163379888252692,,
60,0.23809523809523808,rebalance,115.19534305988381,0.9999999980786028,-100.21728233419908,-0.0159087676996215,3.4047576980000827e-09,3.922122310568998e-10,0.14507854167513345,0.9999999980786028,-100.23319149450316,14.962151344044642,,
61,0.24206349206349206,rebalance,116.1738839281324,1.0000000000051223,-100.23319149450316,-0.015911293163590176,1.9265194994844137e-09,2.2381125271838602e-10,0.1450785418989447,1.0000000000051223,-100.2491030117018,15.924780917025672,,
62,0.24603174603174602,rebalance,115.8571278004859,1.0000000000088536,-100.2491030117018,-0.015913819001698793,3.731237541160226e-12,4.3229046466017105e-13,0.145078541899377,1.0000000000088536,-100.26501683113622,15.59211097037543,,
63,0.25,liquidate,115.01552956433002,,-100.26501683113622,-0.015916345205270663,-1.0000000000088536,0.11501552956534832,0.2600940714647253,0.0,14.61958085944147,14.61958085944147,14.010512855913234,0.6090680035282361
