maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,difference,se,ci95_low,ci95_high,sim95_low,sim95_high,n_paths,first_half_difference,refinement_shift,refinement_se,refinement_margin,expanded_low,expanded_high,supported_sign
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,-0.1350124020498362,0.0137273150060012,-0.1619253997371385,-0.108099404362534,-0.1893323307208132,-0.0806924733788593,4096,-0.1697493718793665,0.0009833013092039678,0.0010502079125804223,0.0030417088178615955,-0.1923740395386748,-0.0776507645609977,negative
63,0.9,kappa_plus20,10,5,Heston_minus_BS,0.1264952686743072,0.0130754606741209,0.1008602597356193,0.1521302776129952,0.074754772382942,0.1782357649656725,4096,0.1514458013097546,-0.0003640189015457153,0.00085565022330495,0.002041093339223417,0.07271367904371857,0.18027685830489593,positive
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,-0.1455595647627055,0.0218566464562389,-0.188410470076074,-0.1027086594493371,-0.2320478165417768,-0.0590713129836343,4096,-0.1871710969344722,0.0006326253454886881,0.0015317406820488432,0.0036348370823044204,-0.23568265362408122,-0.05543647590132988,negative
63,0.9,theta_minus20,0,1,Heston_minus_BS,0.1596757835689231,0.0086558858460829,0.1427055431646387,0.1766460239732075,0.125423848537361,0.1939277186004852,4096,0.1757423209881654,-0.0008314397752598158,0.0007279065199661266,0.002258136554393424,0.12316571198296757,0.1961858551548786,positive
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,-0.1838350362748689,0.0127213394283228,-0.2087757751203141,-0.1588942974294236,-0.2341742504652392,-0.1334958220844986,4096,-0.2088792170031165,0.0011760682346981628,0.001086384392171374,0.0033053816433540563,-0.23747963210859327,-0.13019044044114453,negative
63,0.9,theta_minus20,0,5,Heston_minus_BS,0.1921818567787444,0.0143845611828022,0.1639802993965199,0.2203834141609689,0.1352611598273357,0.2491025537301532,4096,0.2150119616621345,-0.0005950562928391178,0.001057741664881975,0.002668229956007789,0.1325929298713279,0.25177078368616096,positive
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,-0.2240356140478739,0.0217987505773586,-0.2667730119744206,-0.1812982161213273,-0.3102947678562388,-0.1377764602395091,4096,-0.2602101204946425,0.000773818154383648,0.001617099847388733,0.003943333855265564,-0.31423810171150435,-0.13383312638424352,negative
63,0.9,theta_minus20,5,1,Heston_minus_BS,0.1617047450433259,0.0092199468742165,0.1436286384781048,0.1797808516085471,0.125220781767282,0.1981887083193698,4096,0.1820901141004939,-0.0008210544205667987,0.0007403611933914818,0.0022721623596141027,0.1229486194076679,0.2004608706789839,positive
63,0.9,theta_minus20,5,1,Adjusted_minus_Heston,-0.1829425968567479,0.0135326125095633,-0.2094738718376029,-0.156411321875893,-0.2364920743714759,-0.12939311934202,4096,-0.2143929630830958,0.0011496917961186777,0.001095903334525905,0.0032976623317894516,-0.23978973670326537,-0.12609545701023053,negative
63,0.9,theta_minus20,5,5,Heston_minus_BS,0.184428378316425,0.0148595645999765,0.1552955560901808,0.2135612005426692,0.1256280602061736,0.2432286964266764,4096,0.2103129835793283,-0.0005749709238404817,0.001063676390898445,0.002659776650001434,0.12296828355617216,0.24588847307667785,positive
63,0.9,theta_minus20,5,5,Adjusted_minus_Heston,-0.2098388247103743,0.0225041058272751,-0.2539591022606079,-0.1657185471601407,-0.298889117707023,-0.1207885317137257,4096,-0.2504766627450946,0.0007236473380605803,0.0016164613796276746,0.0038919116421308225,-0.3027810293491538,-0.11689662007159488,negative
