day,time_years,event,spot,target_holdings,cash_before,interest,trade,fees,cumulative_fees,holdings,cash_after,portfolio,payoff,terminal_error
48,0.19047619047619047,rebalance,115.88487011197176,0.9997474753037139,-99.00064143217925,-0.015715634768521388,9.800422885064553e-05,1.1357207330781014e-05,0.13803377185261664,0.9997474753037139,-99.0277256314859,16.827880688856695,,
49,0.19444444444444445,rebalance,114.86535822734353,0.9993453346174566,-99.0277256314859,-0.01571993418899123,-0.000402140686257324,4.6192033984737294e-05,0.13807996388660138,0.9993453346174566,-98.99729972372414,15.792860129934496,,
50,0.1984126984126984,rebalance,115.38357339662318,0.9996346957446094,-98.99729972372414,-0.015715104296508037,0.0002893611271528318,3.338752085296838e-05,0.13811335140745434,0.9996346957446094,-99.04643573639447,16.294987549864743,,
51,0.20238095238095238,rebalance,116.63147382110958,0.999915524333137,-99.04643573639447,-0.015722904282628708,0.00028082858852762627,3.275345217107899e-05,0.13814610485962542,0.999915524333137,-99.09494484630035,17.526676453280984,,
52,0.20634920634920634,rebalance,115.80693900083838,0.9998402205182646,-99.09494484630035,-0.01573060475247616,-7.530381487241833e-05,8.720704295460576e-06,0.1381548255639209,0.9998402205182646,-99.10196346746166,16.686471960681814,,
53,0.21031746031746032,rebalance,116.88126973725124,0.9999341670749919,-99.10196346746166,-0.015731718907749843,9.394655672734231e-05,1.0980592837734473e-05,0.13816580615675864,0.9999341670749919,-99.12868675979998,17.744888341585806,,
54,0.21428571428571427,rebalance,116.9640538341794,0.9999895926089107,-99.12868675979998,-0.015735961036852503,5.54255339187959e-05,6.48279513306618e-06,0.1381722889518917,0.9999895926089107,-99.15091199876503,17.811924544762732,,
55,0.21825396825396826,rebalance,116.4383596372818,0.9999896988859706,-99.15091199876503,-0.01573948913256143,1.0627705981924862e-07,1.2374726512426583e-08,0.13817230132661823,0.9999896988859706,-99.16666387499882,17.270496317462957,,
56,0.2222222222222222,rebalance,115.24819034475667,0.9999786466080852,-99.16666387499882,-0.01574198962882315,-1.1052277885337247e-05,1.273755025472492e-06,0.1381735750816437,0.9999786466080852,-99.18113338335719,16.064596021623572,,
57,0.2261904761904762,rebalance,115.37997371099495,0.9999970967824523,-99.18113338335719,-0.015744286558472806,1.845017436707952e-05,2.128780633436908e-06,0.13817570386227715,0.9999970967824523,-99.19900857932973,16.18063015850089,,
58,0.23015873015873015,rebalance,116.554801907234,0.9999999160445381,-99.19900857932973,-0.015747124116363906,2.8192620857847572e-06,3.2859853393321775e-07,0.1381760324608111,0.9999999160445381,-99.21508463057856,17.339707491243203,,
59,0.23412698412698413,rebalance,116.38066284231321,0.9999999971122111,-99.21508463057856,-0.015749676073061276,8.106767301896411e-08,9.434709521030954e-09,0.1381760418955206,0.9999999971122111,-99.23084375079584,17.14981875543458,,
60,0.23809523809523808,rebalance,115.19534305988381,0.99999999886944,-99.23084375079584,-0.01575217771925291,1.7572289179312861e-09,2.0242458803584292e-10,0.13817604209794518,0.99999999886944,-99.2465961311421,15.948746798506463,,
61,0.24206349206349206,rebalance,116.1738839281324,1.0000000000044844,-99.2465961311421,-0.015754678295538834,1.1350443918090036e-09,1.3186251542729683e-10,0.1381760422298077,1.0000000000044844,-99.26235094143202,16.91153298722135,,
62,0.24603174603174602,rebalance,115.8571278004859,1.0000000000092935,-99.26235094143202,-0.015757179257560715,4.809042053466328e-12,5.571617997863596e-13,0.13817604223036486,1.0000000000092935,-99.2781081212473,16.579019680315312,,
63,0.25,liquidate,115.01552956433002,,-99.2781081212473,-0.015759680595727583,-1.0000000000092935,0.11501552956539893,0.2531915717957638,0.0,15.606646233990503,15.606646233990503,14.010512855913234,1.596133378077269
