maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,difference,se,ci95_low,ci95_high,sim95_low,sim95_high,n_paths,first_half_difference
63,1.0,reference,10,1,Adjusted_minus_Heston,-0.40342835934387344,0.021472387030357518,-0.445525907352077,-0.3613308113356699,-0.48839607017259096,-0.31846064851515593,4096,-0.4526802195640061
63,1.0,reference,10,5,Heston_minus_BS,0.37977388062951567,0.016129626213187375,0.34815104741101777,0.4113967138480136,0.3159478414509275,0.4435999198081038,4096,0.4079792917176566
63,1.0,reference,10,5,Adjusted_minus_Heston,-0.481052025900233,0.02959985527997227,-0.5390838286487027,-0.4230202231517632,-0.5981806870241609,-0.3639233647763051,4096,-0.5325185647630177
63,1.0,kappa_minus20,0,1,Heston_minus_BS,0.4145348233285583,0.012279038537367497,0.39046123460315973,0.43860841205395684,0.3659458241538192,0.46312382250329737,4096,0.43340448354162026
63,1.0,kappa_minus20,0,1,Adjusted_minus_Heston,-0.5548958146150066,0.021896849251291397,-0.5978255392553735,-0.5119660899746397,-0.6415431516164004,-0.4682484776136127,4096,-0.5918844515888078
63,1.0,kappa_minus20,0,5,Heston_minus_BS,0.4643242318241251,0.01645876176030875,0.43205611406057126,0.4965923495876789,0.39919578067095196,0.5294526829772982,4096,0.48981269431121843
63,1.0,kappa_minus20,0,5,Adjusted_minus_Heston,-0.6244589672192513,0.029983171536809183,-0.6832422781489822,-0.5656756562895204,-0.7431044371088195,-0.5058134973296832,4096,-0.6703851080657842
63,1.0,kappa_minus20,5,1,Heston_minus_BS,0.3859334409357249,0.012316812272493328,0.361785795160886,0.4100810867105638,0.3371949684956914,0.4346719133757584,4096,0.407922864515737
63,1.0,kappa_minus20,5,1,Adjusted_minus_Heston,-0.4896154827335023,0.02206859977351482,-0.5328819317373279,-0.4463490337296767,-0.5769424483521677,-0.40228851711483693,4096,-0.5334573115991138
63,1.0,kappa_minus20,5,5,Heston_minus_BS,0.4366932905224121,0.01672984800573668,0.4038936963927174,0.46949288465210687,0.37049213246997353,0.5028944485748507,4096,0.46401633611671855
63,1.0,kappa_minus20,5,5,Adjusted_minus_Heston,-0.5665904926705999,0.030561102564311955,-0.6265068624978503,-0.5066741228433496,-0.6875228753451497,-0.44565810999605016,4096,-0.6164101004287099
63,1.0,kappa_minus20,10,1,Heston_minus_BS,0.3605834564818742,0.012639149776584653,0.3358038540207971,0.38536305894295125,0.31056947239061344,0.4105974405731349,4096,0.385764480983788
