maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,coarse_mse,fine_mse,mse_refinement_shift,mse_refinement_se
63,0.9,rho_minus10pp,5,5,Heston,1.0130244633284757,1.0143443567085986,0.0013198933801228693,0.003015882564199025
63,0.9,rho_minus10pp,5,5,Adjusted,0.9572977276328807,0.9593692774089784,0.0020715497760979027,0.003728242475777002
63,0.9,rho_minus10pp,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,rho_minus10pp,10,1,Heston,0.698917782289143,0.6985202590023336,-0.0003975232868093412,0.001713804067422801
63,0.9,rho_minus10pp,10,1,Adjusted,0.5967281324609105,0.5974768403582402,0.0007487078973298237,0.0014733663007708991
63,0.9,rho_minus10pp,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,rho_minus10pp,10,5,Heston,0.9900654726974205,0.9909661209345781,0.0009006482371577023,0.0030349501577800002
63,0.9,rho_minus10pp,10,5,Adjusted,0.950525957405201,0.9521173801705212,0.0015914227653203489,0.0036237049724411725
63,0.9,rho_plus10pp,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,rho_plus10pp,0,1,Heston,0.6898468235373447,0.6904400502706859,0.0005932267333410817,0.001312238017350423
63,0.9,rho_plus10pp,0,1,Adjusted,0.5840207202561911,0.5855475143216804,0.001526794065489387,0.0014067554292433065
63,0.9,rho_plus10pp,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,rho_plus10pp,0,5,Heston,1.045633766078612,1.0473835894408974,0.001749823362285682,0.003048916144671163
63,0.9,rho_plus10pp,0,5,Adjusted,0.9575136110496523,0.9599026122604849,0.0023890012108324873,0.003573902082484601
63,0.9,rho_plus10pp,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,rho_plus10pp,5,1,Heston,0.6587718658895094,0.6589647281306034,0.00019286224109394583,0.00145753407761076
63,0.9,rho_plus10pp,5,1,Adjusted,0.5507718736364015,0.5518767736026087,0.0011048999662070843,0.0013864378601548548
63,0.9,rho_plus10pp,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
63,0.9,rho_plus10pp,5,5,Heston,0.995225438890415,0.9965431987643462,0.0013177598739310958,0.0030290972450033793
63,0.9,rho_plus10pp,5,5,Adjusted,0.9176314706937043,0.9195481708029416,0.0019167001092371845,0.0034691484909841344
63,0.9,rho_plus10pp,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,rho_plus10pp,10,1,Heston,0.6803438215374933,0.680159425084814,-0.00018439645267938722,0.0016780151998469857
